					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
42	1	1	4	1002	5,227901	8,062396	12,47813	0,001618	0,010923	0,026027	0,668539	0,675382	0,684573	7	7	7
42	1	15	4	1002	5,768764	7,216401	9,379248	0,004344	0,011043	0,02562	0,668539	0,674252	0,67927	6	6,8	7
42	1	29	4	1002	5,114071	7,461633	13,940726	0,003033	0,00973	0,014337	0,669107	0,674426	0,677503	7	7	7
42	11	1	4	1002	0,171789	5,336707	19,510672	0,007053	0,141996	1,112589	0,603396	0,638912	0,678702	5	6,4	7
42	11	15	4	1002	2,882529	7,089648	15,677346	0,008173	0,026203	0,045692	0,626057	0,65778	0,6835	6	6,6	7
42	11	29	4	1002	0,229167	4,624467	17,043499	0,006943	0,126784	0,472287	0,610529	0,638868	0,670496	6	6,4	7
42	21	1	4	1002	0,347894	1,470805	4,994467	0,040242	0,322433	1,019278	0,600871	0,629703	0,658313	6	6	6
42	21	15	4	1002	0,84441	5,298323	16,02902	0,00799	0,090818	0,332301	0,617031	0,649662	0,673021	6	6,4	7
42	21	29	4	1002	1,487699	6,927256	13,427124	0,005352	0,036142	0,225177	0,604343	0,648403	0,68533	5	6,2	7
42	31	1	4	1002	0,509155	1,635264	3,103441	0,122869	0,343117	0,52125	0,527585	0,579441	0,632622	5	5,2	6
42	31	15	4	1002	0,054103	2,912998	9,546789	0,007052	1,377464	8,571606	0,450511	0,582483	0,674978	4	5	6
42	31	29	4	1002	0,326775	4,296834	11,938218	0,003352	0,341739	2,454961	0,490973	0,612426	0,675862	5	5,8	7
42	41	1	4	1002	0,695334	7,293493	31,864759	0,003059	0,126126	0,382152	0,499558	0,590961	0,666646	4	5	6
42	41	15	4	1002	1,416754	2,234731	4,099558	0,051699	0,090692	0,149937	0,504671	0,589635	0,656925	4	5,2	7
42	41	29	4	1002	0,731875	1,963369	3,244851	0,049607	0,117678	0,237037	0,421096	0,563824	0,643101	4	4,8	6
3	1	1	16	2	32,333588	137,492767	772,227844	0,001111	0,017576	0,045131	0,437382	0,68169	0,74334	0	0	0
3	1	15	16	2	33,894421	116,490318	401,224457	0,002015	0,016193	0,04197	0,597147	0,682135	0,746244	0	0	0
3	1	29	16	2	33,894421	120,323349	401,224457	0,002015	0,014521	0,04197	0,559715	0,680358	0,746244	0	0	0
